wavelength	efficiency
272.1642824180896	13.9285023609
278.76019073988624	18.5465139772
290.89195068890507	25.4072561042
308.27688047992626	31.3519490288
324.436855868328	33.2526357825
340.59683125672984	33.4285073066
361.2090447623443	32.9070538718
380.9967697277343	32.0659976447
400.78449469312426	30.7431813384
420.5722196585142	28.649191849
440.35994462390414	26.1614201105
458.4986925088449	22.8918891474
476.6374403937857	20.0716657632
496.30738128200073	17.2359546109
511.1010613751731	12.7655241751
521.6545146900478	9.8395073187
537.4434702353485	7.3532358464
560.3230272265806	5.0593754552
575.5760652207354	3.79397725
587.9433933241041	2.7877035271
596.6005229964622	2.1460104137
604.8454083987081	1.6469878553
612.1283905040252	1.2820612348
618.1746397990054	1.0467141549
624.2208890939856	0.8008305105
629.1678203353332	0.645890995
634.1147515766806	0.4901555895
639.8861713582527	0.3517850724
645.6575911398248	0.262402912
650.6045223811723	0.1959258215
655.5514536225197	0.1430020678
659.6738963236427	0.1149119922
662.9718504845409	0.0837322819
667.5065374557762	0.0593655059
672.0412244270113	0.043922408
675.3391785879097	0.0332630073
678.637132748808	0.0256132611
681.9350869097063	0.0197067795
686.0575296108292	0.0141487313
690.1799723119522	0.0108972762
